-----------------------------------------------------------------------------------------
Thu Jan  1 00:03:08 UTC 1970
PROCESS ID: 	126
USER ID:         0

--------------INPUT BUFFER BEFORE SORTING--------------.
Element Number 0 is {2} 
Element Number 1 is {10} 
Element Number 2 is {38} 
Element Number 3 is {45} 
Element Number 4 is {33} 
Element Number 5 is {33} 
Element Number 6 is {1} 
Element Number 7 is {43} 
Element Number 8 is {39} 
Element Number 9 is {32} 
Element Number 10 is {23} 
Element Number 11 is {23} 
Element Number 12 is {45} 
Element Number 13 is {23} 
Element Number 14 is {44} 
Element Number 15 is {48} 
Element Number 16 is {33} 
Element Number 17 is {19} 
Element Number 18 is {27} 
Element Number 19 is {31} 
Element Number 20 is {26} 
Element Number 21 is {6} 
Element Number 22 is {7} 
Element Number 23 is {5} 
Element Number 24 is {21} 
Element Number 25 is {28} 
Element Number 26 is {44} 
Element Number 27 is {13} 
Element Number 28 is {26} 
Element Number 29 is {40} 
Element Number 30 is {19} 
Element Number 31 is {30} 
Element Number 32 is {2} 
Element Number 33 is {7} 
Element Number 34 is {27} 
Element Number 35 is {35} 
Element Number 36 is {42} 
Element Number 37 is {28} 
Element Number 38 is {30} 
Element Number 39 is {31} 
Element Number 40 is {10} 
Element Number 41 is {3} 
Element Number 42 is {7} 
Element Number 43 is {5} 
Element Number 44 is {27} 
Element Number 45 is {1} 
Element Number 46 is {5} 
Element Number 47 is {12} 
Element Number 48 is {21} 
Element Number 49 is {32} 
Element Number 50 is {44} 
Element Number 51 is {49} 
Element Number 52 is {38} 
Element Number 53 is {1} 
Element Number 54 is {6} 
Element Number 55 is {11} 
Element Number 56 is {31} 
Element Number 57 is {0} 
Element Number 58 is {24} 
Element Number 59 is {9} 
Element Number 60 is {42} 
Element Number 61 is {45} 
Element Number 62 is {39} 
Element Number 63 is {44} 
Element Number 64 is {4} 
Element Number 65 is {16} 
Element Number 66 is {31} 
Element Number 67 is {47} 
Element Number 68 is {46} 
Element Number 69 is {12} 
Element Number 70 is {30} 
Element Number 71 is {6} 
Element Number 72 is {15} 
Element Number 73 is {37} 
Element Number 74 is {13} 
Element Number 75 is {44} 
Element Number 76 is {39} 
Element Number 77 is {18} 
Element Number 78 is {7} 
Element Number 79 is {10} 
Element Number 80 is {2} 
Element Number 81 is {3} 
Element Number 82 is {11} 
Element Number 83 is {43} 
Element Number 84 is {4} 
Element Number 85 is {17} 
Element Number 86 is {4} 
Element Number 87 is {37} 
Element Number 88 is {20} 
Element Number 89 is {31} 
Element Number 90 is {46} 
Element Number 91 is {12} 
Element Number 92 is {26} 
Element Number 93 is {35} 
Element Number 94 is {7} 
Element Number 95 is {31} 
Element Number 96 is {3} 
Element Number 97 is {38} 
Element Number 98 is {30} 
Element Number 99 is {49} 
Element Number 100 is {2} 
Element Number 101 is {10} 
Element Number 102 is {7} 
Element Number 103 is {18} 
Element Number 104 is {48} 
Element Number 105 is {20} 
Element Number 106 is {14} 
Element Number 107 is {37} 
Element Number 108 is {40} 
Element Number 109 is {21} 
Element Number 110 is {49} 
Element Number 111 is {44} 
Element Number 112 is {24} 
Element Number 113 is {10} 
Element Number 114 is {37} 
Element Number 115 is {30} 
Element Number 116 is {29} 
Element Number 117 is {42} 
Element Number 118 is {17} 
Element Number 119 is {49} 
Element Number 120 is {23} 
Element Number 121 is {13} 
Element Number 122 is {12} 
Element Number 123 is {1} 
Element Number 124 is {0} 
Element Number 125 is {19} 
Element Number 126 is {34} 
Element Number 127 is {3} 
Element Number 128 is {9} 
Element Number 129 is {14} 
Element Number 130 is {4} 
Element Number 131 is {12} 
Element Number 132 is {27} 
Element Number 133 is {11} 
Element Number 134 is {32} 
Element Number 135 is {25} 
Element Number 136 is {33} 
Element Number 137 is {46} 
Element Number 138 is {14} 
Element Number 139 is {25} 
Element Number 140 is {20} 
Element Number 141 is {13} 
Element Number 142 is {20} 
Element Number 143 is {46} 
Element Number 144 is {25} 
Element Number 145 is {7} 
Element Number 146 is {27} 
Element Number 147 is {4} 
Element Number 148 is {1} 
Element Number 149 is {44} 
Element Number 150 is {4} 
Element Number 151 is {26} 
Element Number 152 is {10} 
Element Number 153 is {16} 
Element Number 154 is {28} 
Element Number 155 is {10} 
Element Number 156 is {37} 
Element Number 157 is {14} 
Element Number 158 is {16} 
Element Number 159 is {46} 
Element Number 160 is {31} 
Element Number 161 is {20} 
Element Number 162 is {10} 
Element Number 163 is {8} 
Element Number 164 is {34} 
Element Number 165 is {42} 
Element Number 166 is {33} 
Element Number 167 is {19} 
Element Number 168 is {41} 
Element Number 169 is {47} 
Element Number 170 is {45} 
Element Number 171 is {13} 
Element Number 172 is {12} 
Element Number 173 is {15} 
Element Number 174 is {9} 
Element Number 175 is {37} 
Element Number 176 is {22} 
Element Number 177 is {36} 
Element Number 178 is {41} 
Element Number 179 is {26} 
Element Number 180 is {33} 
Element Number 181 is {47} 
Element Number 182 is {2} 
Element Number 183 is {45} 
Element Number 184 is {13} 
Element Number 185 is {32} 
Element Number 186 is {7} 
